model,replicate,seed,fraction,n_train,r2_coef_determination,pearson_r,pearson_r2,rmse,mae
rf,0,42,0.81,22328,0.7914170984371527,0.8920641627279794,0.7957784704235709,4.22707600720966,0.8001822631589105
rf,0,42,0.82,22603,0.7940874664208225,0.8933741467462314,0.798117366074557,4.199930422764237,0.7931070741290233
rf,0,42,0.83,22879,0.7862947030458314,0.8884820988457922,0.7894004399694241,4.278665626241073,0.809317303592542
rf,0,42,0.84,23155,0.7921101779717669,0.8927181549854949,0.7969457042407061,4.220047296792154,0.7904557554491963
rf,0,42,0.85,23430,0.7896975765616884,0.8909607913511063,0.7938111317249895,4.244463892000179,0.7963643159329468
rf,0,42,0.86,23706,0.7900965553556947,0.8907981198475236,0.793521290323883,4.240435752405396,0.7893946692490685
rf,0,42,0.87,23982,0.7923145464016239,0.8928166547868162,0.7971215790647208,4.217972504253662,0.7941562323057028
rf,0,42,0.88,24257,0.7974729928938852,0.8950854116326045,0.801177894117509,4.165260588837246,0.7852333055877424
rf,0,42,0.89,24533,0.7932961743349145,0.8932190086429707,0.7978401974011313,4.207992547390749,0.7885677957006824
rf,0,42,0.9,24808,0.7962265168421511,0.8941905479078809,0.7995767359677962,4.178058717841741,0.7776989418915234
rf,0,42,0.91,25084,0.7927685547484853,0.89297909873617,0.7974116707796625,4.213359657280088,0.7914642950397582
rf,0,42,0.92,25360,0.7912515715465772,0.8918867930781655,0.7954620516672545,4.228752932743458,0.7902687111802634
rf,0,42,0.93,25635,0.7871793608654432,0.8890239960376332,0.7903636655307216,4.269800426223464,0.7947333657649014
rf,0,42,0.94,25911,0.7946076606970216,0.8929188246802303,0.7973040274683239,4.194621951930641,0.7881820369082269
rf,0,42,0.95,26187,0.7899996147321884,0.8912815854477968,0.7943828645583383,4.241414828846497,0.7880352942104055
rf,0,42,0.96,26462,0.7910077528246752,0.8903668905707864,0.7927531998246908,4.2312218093994325,0.785702059493353
rf,0,42,0.97,26738,0.8000272809972205,0.896237133073521,0.8032409986998442,4.138910931052201,0.7779662932647838
rf,0,42,0.98,27014,0.7990359630650942,0.8965177957574594,0.8037441581098137,4.149157089438279,0.7680418587567382
rf,0,42,0.99,27289,0.7939293203980284,0.8937082077614769,0.798714360620231,4.201542939493423,0.7774274641043694
rf,0,42,1.0,27565,0.8018143787092948,0.8975309015041132,0.8055617191547861,4.12037530792579,0.7523785158537334
rf,1,43,0.01,276,0.37132186100387954,0.685251649854454,0.46956982362825117,7.338628178398312,1.6808704681644302
rf,1,43,0.02,551,0.41765485115569445,0.7094415853593042,0.503307363037123,7.063028125946404,1.549847435929082
rf,1,43,0.03,827,0.4695151891004514,0.729721603891101,0.5324936191854008,6.74119952364899,1.3949642900574464
rf,1,43,0.04,1103,0.5144157110939622,0.7506179689702183,0.5634273353409756,6.449603522826799,1.3373077979783914
rf,1,43,0.05,1378,0.5292365476657357,0.7612212324525967,0.5794577647366502,6.350414515004972,1.299523899093203
rf,1,43,0.06,1654,0.5371366022388988,0.772188185168164,0.5962745933133028,6.296904753076161,1.2331750748570278
rf,1,43,0.07,1930,0.5628070977623729,0.7865547478443645,0.6186683713565119,6.119800376420377,1.1948288020742626
rf,1,43,0.08,2205,0.5571207418938083,0.789157838263743,0.6227700936931039,6.159470437333722,1.17077505750761
rf,1,43,0.09,2481,0.5737287113000764,0.7904612034744433,0.6248289141982651,6.0428768772288395,1.1549922742931769
rf,1,43,0.1,2756,0.5854867656005451,0.7938044771533141,0.6301255479486464,5.958952247930793,1.128098241234728
rf,1,43,0.11,3032,0.6106331538796052,0.8010141887940649,0.6416237306494139,5.775375010365503,1.1146919554775199
rf,1,43,0.12,3308,0.6170328005277139,0.8019591663844112,0.6431385045479797,5.727716239248604,1.0966580119328082
rf,1,43,0.13,3583,0.6157803410142135,0.8051591605253435,0.6482812737778759,5.7370745824893055,1.0813506246401887
rf,1,43,0.14,3859,0.6099811188324598,0.7970422820337707,0.6352763993496009,5.780208718910762,1.1023438559620904
rf,1,43,0.15,4135,0.6323057111623104,0.8080777678708231,0.6529896789270918,5.6123422456857455,1.0728616393815615
rf,1,43,0.16,4410,0.6421690750365945,0.8052928745545491,0.6484966138083288,5.536555276225454,1.1163207749556345
rf,1,43,0.17,4686,0.6535052316765999,0.8118606639739694,0.6591177377082544,5.448149865990908,1.0829820475898906
rf,1,43,0.18,4962,0.6515974278713372,0.8118944664018403,0.6591726245739289,5.463128061736724,1.0884600890737126
rf,1,43,0.19,5237,0.660690436489275,0.8167638926648382,0.6671032563610193,5.3913652482982135,1.0904967213144179
rf,1,43,0.2,5513,0.6665365240685899,0.8173334047819557,0.6680338945724642,5.3447185581401735,1.0607419223291055
rf,1,43,0.21,5789,0.6746551042708384,0.8245345821326501,0.6798572771326639,5.279255772480919,1.049003946929067
rf,1,43,0.22,6064,0.662651190832794,0.8157697154122898,0.6654802285838484,5.375765247576516,1.0386289082182376
rf,1,43,0.23,6340,0.6755983253621654,0.826062924118653,0.6823799546034595,5.271597561500678,1.0291007312946137
rf,1,43,0.24,6616,0.6784244187308519,0.8276097017684578,0.6849378184612757,5.248585017162435,1.0129128930463038
rf,1,43,0.25,6891,0.6726432638330463,0.823531098392448,0.6782034700194718,5.295553325649023,1.0433479673787325
